課程名稱,課程時數,課程訂價,課程售價,早鳥價格,開課時間,課程狀態,課程期數,上課地點,課程講師,合作單位,課程分類,線上課程,實體課程
財務報表分析全修班,1440,5500 ,5500 ,5225,2019/09/18,尚有名額, ,高雄,張老師, ,商業管理,0,1
會計記帳稅務進階應用班,900,7000 ,7000 ,6650,2019/09/20,課程停招各分館地圖資訊, ,高雄,顏翠芬老師, ,商業管理,0,1
英國City&Guilds衝突管理國際專業人才輔考認證課程,1080,12600 ,12600 ,12600,2019/09/21,課程停招各分館地圖資訊, ,高雄,高義展, ,商業管理,0,1
廣東話入門C6,1200,3200 ,3200 ,2880,2019/09/23,尚有名額, ,高雄,, ,商業管理,0,1
廣東話入門C2,1200,3200 ,3200 ,2880,2019/09/24,尚有名額, ,高雄,, ,商業管理,0,1
不動產經紀法規考照班,900,3000 ,3000 ,3000,2019/09/25,尚有名額, ,高雄,蕭華強, ,商業管理,0,1
越語進階V1,1200,3600 ,3600 ,3600,2019/09/26,尚有名額, ,高雄,Lannie, ,商業管理,0,1
現代藝術紙雕屋(建物)設計與創作,2160,12600 ,12600 ,11970,2019/09/29,尚有名額, ,高雄,, ,商業管理,0,1
出國旅遊溜英語,120,0,0,0,2019/10/02,尚有名額, ,高雄,金建寧, ,商業管理,0,1
泰有趣-泰國文字與文化(泰語初級),1440,4000 ,4000 ,3800,2019/10/02,尚有名額, ,高雄,洪銘謙, ,商業管理,0,1
認識新修正遺產繼承實務班,540,3600 ,3600 ,3420,2019/10/02,尚有名額, ,高雄,徐平一, ,商業管理,0,1
會計實務班,1440,4800 ,4800 ,4560,2019/10/02,尚有名額, ,高雄,顏老師, ,商業管理,0,1
廣東話入門C1,1200,3200 ,3200 ,3040,2019/10/03,尚有名額, ,高雄,, ,商業管理,0,1
TOEIC多益英文進階班,1200,3200 ,3200 ,3040,2019/10/03,尚有名額, ,高雄,Jasmine Huang, ,商業管理,0,1
英文基礎文法班~閱讀故事學文法,1200,3200 ,3200 ,2880,2019/10/07,尚有名額, ,高雄,顏正裕老師, ,商業管理,0,1
觀光導遊及領隊人員考試輔照班,120,0,0,0,2019/10/17,尚有名額, ,高雄,陳錫堅, ,商業管理,0,1
會計基礎入門班,1800,5700 ,5700 ,5415,2019/10/17,尚有名額, ,高雄,顏翠芬, ,商業管理,0,1
基礎會計全修班,3240,9500 ,9500 ,9025,2019/10/17,尚有名額, ,高雄,顏老師, ,商業管理,0,1
越南語入門,1200,3600 ,3600 ,3240,2019/10/18,尚有名額, ,高雄,蘭妮老師, ,商業管理,0,1
用Excel自動處理會計帳務及編製財務報表,720,4500 ,4500 ,3825,2019/10/18,尚有名額, ,高雄,顏翠芬老師, ,商業管理,0,1
英國City & Guilds國際餐旅(顧客服務)證照課程,720,9000 ,9000 ,8100,2019/10/19,尚有名額, ,高雄,蔡華端, ,商業管理,0,1
就業服務乙級證照考前總複習 ,720,4200 ,4200 ,3780,2019/10/20,尚有名額, ,高雄,田晋杰老師, ,商業管理,0,1
土地開發流程及關鍵實務分析,120,0,0,0,2019/10/22,尚有名額, ,高雄,吳家德, ,商業管理,0,1
咖啡創業，不開短命店,1200,6000 ,6000 ,5100,2019/10/22,尚有名額, ,高雄,姚子龍, ,商業管理,0,1
英文會話高階班(Level H),120,0,0,0,2019/10/23,尚有名額, ,高雄,Jasmine Huang, ,商業管理,0,1
不動產相關賦稅法規與實務班,720,4800 ,4800 ,4320,2019/10/23,尚有名額, ,高雄,徐平一, ,商業管理,0,1
出國旅遊溜英語,1200,3200 ,3200 ,2880,2019/10/23,尚有名額, ,高雄,金建寧, ,商業管理,0,1
12吋人偶公仔立體模型設計,2160,16200 ,16200 ,14256,2019/10/23,尚有名額, ,高雄,, ,商業管理,0,1
幸福HENNA印度彩繪,900,3750 ,3750 ,3562,2019/10/23,尚有名額, ,高雄,, ,商業管理,0,1
不動產經紀人考前總複習,900,3750 ,3750 ,3500,2019/10/24,尚有名額, ,高雄,蕭華強, ,商業管理,0,1
國貿業務丙級技術士證照研習班,2160,9800 ,9800 ,8330,2019/10/25,尚有名額, ,高雄,謝甲輝, ,商業管理,0,1
JK日韓服飾門市創業先修,720,4800 ,4800 ,4320,2019/10/26,尚有名額, ,高雄,林佳靜, ,商業管理,0,1
印尼語基礎班 ,1200,3600 ,3600 ,3240,2019/10/28,尚有名額, ,高雄,倪華緣, ,商業管理,0,1
Sketchup室內設計基礎繪圖訓練,2160,8640 ,8640 ,8208,2019/10/29,尚有名額, ,高雄,黃珩承, ,商業管理,0,1
基礎會計全修班,3240,9500 ,9500 ,9025,2019/10/30,尚有名額, ,高雄,顏老師, ,商業管理,0,1
室內設計透視圖,3600,12800 ,12800 ,12160,2019/10/30,尚有名額, ,高雄,陳俊豪, ,商業管理,0,1
會計基礎入門班,1800,5700 ,5700 ,5415,2019/10/30,尚有名額, ,高雄,顏翠芬, ,商業管理,0,1
房屋租賃經營管理實務班,120,0,0,0,2019/11/01,尚有名額, ,高雄,徐平一, ,商業管理,0,1
觀光導遊及領隊人員考試輔照班,3600,15000 ,15000 ,13500,2019/11/02,尚有名額, ,高雄,陳錫堅等, ,商業管理,0,1
英文會話基礎班(Level B) ,120,0,0,0,2019/11/04,尚有名額, ,高雄,中國文化大學推廣部專業英文講師, ,商業管理,0,1
農田水利相關法規考試班,1680,5600 ,5600 ,5320,2019/11/04,尚有名額, ,高雄,中國文化大學推廣教育部特聘講師, ,商業管理,0,1
土地開發流程及關鍵實務分析,900,5900 ,5900 ,5310,2019/11/05,尚有名額, ,高雄,吳家德, ,商業管理,0,1
英文會話高階班(Level H),1200,3200 ,3200 ,2880,2019/11/06,尚有名額, ,高雄,Jasmine Huang, ,商業管理,0,1
財產法民事程序實務班,3600,10000 ,10000 ,10000,2019/11/08,臨櫃報名, ,高雄,洪能超, ,商業管理,0,1
泰好買~曼谷批發採購一日攻略,360,2500 ,2500 ,2250,2019/11/09,尚有名額, ,高雄,海鷗, ,商業管理,0,1
基礎會計全修班,3240,9500 ,9500 ,9025,2019/11/10,尚有名額, ,高雄,顏老師, ,商業管理,0,1
會計基礎入門班,1800,5700 ,5700 ,5415,2019/11/10,尚有名額, ,高雄,顏翠芬, ,商業管理,0,1
房屋租賃經營管理實務班,540,3600 ,3600 ,3240,2019/11/15,尚有名額, ,高雄,徐平一, ,商業管理,0,1
打造韓國時尚買手!韓國批貨採購教學,360,2400 ,2400 ,2160,2019/11/16,尚有名額, ,高雄,林佳靜, ,商業管理,0,1
英國City & Guilds行銷管理師(銷售)國際證照輔考課程,1080,12600 ,12600 ,11340,2019/11/16,尚有名額, ,高雄,戴武成, ,商業管理,0,1
國貿業務乙級技術士證照研習班,2160,10800 ,10800 ,9180,2019/11/17,尚有名額, ,高雄,謝甲輝, ,商業管理,0,1
土地登記實務考照班,1620,5400 ,5400 ,5400,2019/11/21,尚有名額, ,高雄,蕭華強, ,商業管理,0,1
英文會話基礎班(Level B) ,1200,3200 ,3200 ,2880,2019/11/25,尚有名額, ,高雄,中國文化大學推廣部專業英文講師, ,商業管理,0,1
共有土地處分之理論與實務班,720,4800 ,4800 ,4320,2019/12/06,尚有名額, ,高雄,徐平一, ,商業管理,0,1
前進日本批發採購教學,360,2400 ,2400 ,2160,2019/12/07,尚有名額, ,高雄,林佳靜, ,商業管理,0,1
Auto-CAD 室內設計電腦繪圖班,2880,9900 ,9900 ,9405,2019/12/10,尚有名額, ,高雄,中國文化大學推廣教育部專業電腦繪圖師資, ,商業管理,0,1
地政士、不動產經紀人考試二合一 ,120,0,0,0,2019/12/18,尚有名額, ,高雄,蕭華強, ,商業管理,0,1
秘書&特助英文研習,1200,3200 ,3200 ,2880,2019/12/20,尚有名額, ,高雄,中國文化大學推廣部專業英文講師, ,商業管理,0,1
建築物室內裝修工程管理術科加強班,1620,6750 ,6750 ,6412,2019/12/23,尚有名額, ,高雄,具十幾年以上實務經驗專業師資群, ,商業管理,0,1
土地投資利潤及財務分析,420,3800 ,3800 ,3420,2019/12/24,尚有名額, ,高雄,吳家德, ,商業管理,0,1
建築物室內裝修專業技術人員講習(高雄)-建築物室內設計,1260,5300 ,5300 ,4770,2019/12/27,尚有名額, ,高雄,王雅信, ,商業管理,0,1
信託法概要,360,1200 ,1200 ,1200,2020/01/08,尚有名額, ,高雄,蕭華強, ,商業管理,0,1
建築物室內裝修專業技術人員講習(高雄)-建築物室內設計,1260,5300 ,5300 ,4770,2020/01/10,尚有名額, ,高雄,王雅信, ,商業管理,0,1
地政公職、證照專班,120,0,0,0,2020/01/15,尚有名額, ,高雄,蕭華強, ,商業管理,0,1
建築物室內裝修工程管理術科加強班,1620,6750 ,6750 ,6412,2020/01/16,尚有名額, ,高雄,具十幾年以上實務經驗專業師資群, ,商業管理,0,1
地政公職、不動產經紀人考試二合一,8640,26000 ,26000 ,19500,2020/02/12,尚有名額, ,高雄,蕭華強等, ,商業管理,0,1
地政士考照輔導,6660,18000 ,18000 ,16200,2020/02/12,尚有名額, ,高雄,蕭華強, ,商業管理,0,1
地政公職、證照專班,10800,32000 ,32000 ,22400,2020/02/12,尚有名額, ,高雄,蕭華強等, ,商業管理,0,1
地政公職、地政士考試二合一,8280,26000 ,26000 ,19500,2020/02/12,尚有名額, ,高雄,蕭華強等, ,商業管理,0,1
地政公職考試輔導,7020,18000 ,18000 ,16200,2020/02/12,尚有名額, ,高雄,蕭華強, ,商業管理,0,1
地政士、不動產經紀人考試二合一 ,9000,26000 ,26000 ,19500,2020/02/12,尚有名額, ,高雄,蕭華強等, ,商業管理,0,1
不動產經紀人考照輔導,6660,18000 ,18000 ,16200,2020/02/20,尚有名額, ,高雄,蕭華強等, ,商業管理,0,1
建築物室內裝修專業技術人員講習(高雄)-建築物室內設計,1260,5300 ,5300 ,4770,2020/02/23,尚有名額, ,高雄,王雅信, ,商業管理,0,1
建築物室內裝修專業技術人員講習(高雄)-建築物室內裝修工程管理、建築工程管理,1260,5300 ,5300 ,4770,2020/05/22,尚有名額, ,高雄,宋鴻麒, ,商業管理,0,1
SCA精品咖啡協會-Barista咖啡師中級認證,1680,18000 ,18000 ,18000,2019/09/21,課程停招各分館地圖資訊, ,其他,棨楊餐飲咖啡團隊師資群, ,專業證照,0,1
建築物室內裝修專業技術人員講習(高雄)-裝潢木工,3660,15250 ,15250 ,13725,2019/10/20,尚有名額, ,其他,王雅信, ,專業證照,0,1
選讀學分自由行,,2685 ,2685 ,2685,2019/09/09,臨櫃報名, ,線上課程,中國文化大學之專(兼)任教師, ,專業證照,1,0
夏廚-廚藝教室租借,,12000 ,12000 ,12000,2019/01/16,臨櫃報名, ,建國,, ,專業證照,0,1
專業手工皂師資培訓班,4680,29000 ,29000 ,24650,2019/08/31,上課中，已停止招生各分館地圖資訊, ,建國,黃玉瑩, ,專業證照,0,1
資訊管理學系碩士學分班 - 關鍵基礎設施安全導論,3240,16000 ,16000 ,16000,2019/09/15,臨櫃報名, ,建國,馬正維、黃瓊瑩, ,專業證照,0,1
私の乾燥花藝生活設計,1080,4500 ,4500 ,4275,2019/09/18,尚有名額, ,建國,許梓亭, ,專業證照,0,1
資安職能訓練(自費班),1080,8000 ,8000 ,8000,2019/09/18,尚有名額, ,建國,, ,專業證照,0,1
CCNA R&S 國際認證輔導,7200,31200 ,31200 ,29640,2019/09/19,尚有名額, ,建國,CCNAI專業講師群 , ,專業證照,0,1
CSE客艙服務管理師證照班,120,0,0,0,2019/09/21,尚有名額, ,建國,江俞葳 , ,專業證照,0,1
中秋烤核達人,3240,26000 ,26000 ,18200,2019/09/21,臨櫃報名, ,建國,IACPT師資群, ,專業證照,0,1
寵物營養鮮食師培訓班,1440,14500 ,14500 ,13775,2019/09/22,尚有名額, ,建國,陳冠丞(萊恩), ,專業證照,0,1
會計師資格先修學分班-商事法,3240,8055 ,8055 ,8055,2019/09/22,尚有名額, ,建國,本校專業師資, ,專業證照,0,1
法律學分班-商事法,3240,8055 ,8055 ,8055,2019/09/22,尚有名額, ,建國,本校專業師資, ,專業證照,0,1
社會工作師學分班-方案設計與評估,3240,8055 ,8055 ,8055,2019/09/22,尚有名額, ,建國,中國文化大學之專（兼）任教師, ,專業證照,0,1
長生不老金童,1260,9000 ,9000 ,6300,2019/09/23,臨櫃報名, ,建國,專業師資群, ,專業證照,0,1
TNL全能紋繡師檢定考照輔導班,2160,14000 ,14000 ,13300,2019/09/24,尚有名額, ,建國,鐘雅雯, ,專業證照,0,1
嫦娥也時尚,2340,15400 ,15400 ,10780,2019/09/24,臨櫃報名, ,建國,, ,專業證照,0,1
法律學分班-刑事訴訟法,3240,8055 ,8055 ,8055,2019/09/25,尚有名額, ,建國,鄭文中 副教授, ,專業證照,0,1
Pro Tools 101錄音工程證照班,1620,33000 ,33000 ,31350,2019/09/25,尚有名額, ,建國,鄭旭志, ,專業證照,0,1
TOEIC多益考試先修班,1440,6800 ,6800 ,6800,2019/09/27,尚有名額, ,建國,※ILI國際語文中心超強師資群, ,專業證照,0,1
建築物室內裝修專業施工技術人員換證回訓講習,960,4000 ,4000 ,3600,2019/09/28,已額滿，停止招生各分館地圖資訊, ,建國,本校專業師資群, ,專業證照,0,1
建築物室內裝修專業設計技術人員換證回訓講習,960,4000 ,4000 ,3600,2019/09/28,已額滿，停止招生各分館地圖資訊, ,建國,本校專業師資群, ,專業證照,0,1
CSE客艙服務管理師證照班,1440,9600 ,9600 ,8160,2019/09/29,尚有名額, ,建國,范百令 , ,專業證照,0,1
TOEIC多益平日班,1440,6800 ,6800 ,6800,2019/10/01,尚有名額, ,建國,Jenny老師 , ,專業證照,0,1
資安職能訓練(自費班),1080,8000 ,8000 ,8000,2019/10/02,尚有名額, ,建國,, ,專業證照,0,1
都市計畫技師學分班-環境規劃與設計,2160,5370 ,5370 ,5102,2019/10/02,尚有名額, ,建國,, ,專業證照,0,1
HSK 漢語水平考試：聽力加強班,3300,8500 ,8500 ,8500,2019/10/02,臨櫃報名, ,建國,資深華語教師, ,專業證照,0,1
都市計畫技師學分班-都市交通計畫,2160,5370 ,5370 ,5370,2019/10/06,尚有名額, ,建國,, ,專業證照,0,1
食品技師先修學分班,24840,59700 ,59700 ,56000,2019/10/07,臨櫃報名, ,建國,中國文化大學之專（兼）任教師, ,專業證照,0,1
食品技師先修學分班,2160,5370 ,5370 ,5370,2019/10/07,尚有名額, ,建國,中國文化大學之專（兼）任教師, ,專業證照,0,1
食品技師先修學分班,4320,10055 ,10055 ,10055,2019/10/08,臨櫃報名, ,建國,中國文化大學之專（兼）任教師, ,專業證照,0,1
食品技師先修學分班,4320,10055 ,10055 ,10055,2019/10/09,臨櫃報名, ,建國,中國文化大學之專（兼）任教師, ,專業證照,0,1
產後照護泌乳按摩入門班,1080,4800 ,4800 ,4560,2019/10/14,尚有名額, ,建國,文大推廣專業師資群, ,專業證照,0,1
兒青芳香按摩入門班,1080,4800 ,4800 ,4560,2019/10/14,尚有名額, ,建國,文化大學專業師資群, ,專業證照,0,1
TPIPAS個資證照免費講座,60,0,0,0,2019/10/16,尚有名額, ,建國,, ,專業證照,0,1
婚禮花藝創意設計,1080,4500 ,4500 ,4275,2019/10/17,尚有名額, ,建國,許梓亭, ,專業證照,0,1
食品技師先修學分班,4320,10055 ,10055 ,10055,2019/10/17,臨櫃報名, ,建國,中國文化大學之專（兼）任教師, ,專業證照,0,1
食品技師先修學分班,3240,8055 ,8055 ,7500,2019/10/18,尚有名額, ,建國,中國文化大學之專（兼）任教師, ,專業證照,0,1
社會工作師學分班-社區工作,3240,8055 ,8055 ,7200,2019/10/19,尚有名額, ,建國, 中國文化大學之專（兼）任教師, ,專業證照,0,1
TOEIC多益考試先修班,1440,6800 ,6800 ,6800,2019/10/19,尚有名額, ,建國,※ILI國際語文中心超強師資群, ,專業證照,0,1
就業服務乙級技術士術科衝刺班,840,3800 ,3800 ,3610,2019/10/19,尚有名額, ,建國,許朝茂 老師, ,專業證照,0,1
動物溝通師培訓認證班,60,0,0,0,2019/10/19,各分館地圖資訊, ,建國,劉怡德, ,專業證照,0,1
吳剛罰跪,2160,11550 ,11550 ,11550,2019/10/20,臨櫃報名, ,建國,BIM師資群, ,專業證照,0,1
BIM顧客服務管理,,8100 ,8100 ,6885,2019/10/20,尚有名額, ,建國,徐丞敬, ,專業證照,0,1
法律學分班-民事訴訟法,3240,8055 ,8055 ,7500,2019/10/20,尚有名額, ,建國,徐偉超, ,專業證照,0,1
記帳及報稅代理人專業訓練班,1440,4000 ,4000 ,2800,2019/10/21,尚有名額, ,建國,專業師資群, ,專業證照,0,1
會計師資格先修學分班-初等會計學,3240,8055 ,8055 ,7500,2019/10/21,尚有名額, ,建國,黃文瑞 老師, ,專業證照,0,1
TOEIC多益平日班,2880,9000 ,9000 ,8550,2019/10/22,尚有名額, ,建國,※ILI國際語文中心超強新多益師資群, ,專業證照,0,1
會計師資格先修學分班-稅務法規,3240,8055 ,8055 ,7500,2019/10/22,尚有名額, ,建國,趙順生 老師, ,專業證照,0,1
會計師資格先修學分班-成本會計,3240,8055 ,8055 ,7500,2019/10/23,尚有名額, ,建國,廖勝嘉 老師, ,專業證照,0,1
資安職能訓練(自費班),1080,8000 ,8000 ,8000,2019/10/23,尚有名額, ,建國,, ,專業證照,0,1
TNA美甲師檢定考照輔導班,,9000 ,9000 ,8550,2019/10/24,尚有名額, ,建國,鐘雅雯, ,專業證照,0,1
會計師資格先修學分班-高等會計學,3240,8055 ,8055 ,7500,2019/10/24,尚有名額, ,建國,廖勝嘉 老師, ,專業證照,0,1
全方位婚禮主持人培訓班,1440,8800 ,8800 ,8360,2019/10/24,尚有名額, ,建國,林靜怡、張華, ,專業證照,0,1
會計師資格先修學分班-證券交易法,3240,8055 ,8055 ,7500,2019/10/25,尚有名額, ,建國,趙順生 老師, ,專業證照,0,1
Tea Tasting Level 1茶葉品評一級認證,360,6000 ,6000 ,6000,2019/10/25,尚有名額, ,建國,講茶學院師資群, ,專業證照,0,1
法律學分班-證券交易法,3240,8055 ,8055 ,7500,2019/10/25,尚有名額, ,建國,趙順生老師, ,專業證照,0,1
法律學分班-民法,4320,10740 ,10740 ,10000,2019/10/26,尚有名額, ,建國,本校專業師資, ,專業證照,0,1
產後照護泌乳按摩入門班,1080,4800 ,4800 ,4560,2019/10/26,尚有名額, ,建國,文大推廣專業師資群, ,專業證照,0,1
都市計畫技師學分班-都市經濟學,2160,5370 ,5370 ,5000,2019/10/27,尚有名額, ,建國,, ,專業證照,0,1
樂齡照護舒緩按摩入門班,1080,4500 ,4500 ,4275,2019/10/27,尚有名額, ,建國,文大推廣專業師資群, ,專業證照,0,1
法律學分班-行政法,3240,8055 ,8055 ,7500,2019/10/31,尚有名額, ,建國,康皓智 律師, ,專業證照,0,1
不動產估價師學分班-不動產經濟學【週末單修】,3240,8055 ,8055 ,7500,2019/11/02,尚有名額, ,建國,中國文化大學專（兼）任教師, ,專業證照,0,1
社會工作師學分班-社會福利行政,3240,8055 ,8055 ,7200,2019/11/02,尚有名額, ,建國,中國文化大學之專（兼）任教師, ,專業證照,0,1
地政士學分班─土地法,3240,8055 ,8055 ,7500,2019/11/02,尚有名額, ,建國,, ,專業證照,0,1
CFA&NAHA&TAS芳療師初階班,2160,6900 ,6900 ,6555,2019/11/02,尚有名額, ,建國,文化大學專業師資群, ,專業證照,0,1
社會工作師學分班-社會心理學,3240,8055 ,8055 ,7200,2019/11/03,尚有名額, ,建國,中國文化大學之專（兼）任教師, ,專業證照,0,1
SQMI-服務品質專業講師培訓班,1440,18000 ,18000 ,16200,2019/11/03,尚有名額, ,建國,徐丞敬, ,專業證照,0,1
消防設備人員學分班－建築圖學,3240,8055 ,8055 ,7500,2019/11/03,尚有名額, ,建國,黃培誠 老師 , ,專業證照,0,1
Tea Tasting Level 1茶葉品評一級認證,360,6000 ,6000 ,6000,2019/11/04,尚有名額, ,建國,講茶學院師資群, ,專業證照,0,1
TOEIC多益平日班,1440,6800 ,6800 ,6800,2019/11/05,尚有名額, ,建國,Jenny, ,專業證照,0,1
TPIPAS個資盤點靈講座,720,20000 ,20000 ,12000,2019/11/06,尚有名額, ,建國,, ,專業證照,0,1
室內裝修工程管理乙級技術士證照班,5760,28800 ,28800 ,28800,2019/11/06,尚有名額, ,建國,秦瑋瑛, ,專業證照,0,1
會計師資格先修學分班-審計學,3240,8055 ,8055 ,7500,2019/11/09,尚有名額, ,建國,廖勝嘉 老師, ,專業證照,0,1
微軟SQL Server 資料庫開發設計認證輔導,3960,40000 ,40000 ,36000,2019/11/12,尚有名額, ,建國,Mark老師, ,專業證照,0,1
寶石鑑定師先修班,2340,18900 ,18900 ,17955,2019/11/15,尚有名額, ,建國,宋于蘋, ,專業證照,0,1
動物溝通師培訓認證班,1080,16800 ,16800 ,15800,2019/11/16,尚有名額, ,建國,劉怡德, ,專業證照,0,1
TPIPAS個資管理師認證班 ,960,30000 ,30000 ,24000,2019/11/16,尚有名額, ,建國,, ,專業證照,0,1
產後修復按摩入門班,1080,4800 ,4800 ,4560,2019/11/16,尚有名額, ,建國,文化大學專業師資群, ,專業證照,0,1
玉兔牌誠實豆沙包,2160,20400 ,20400 ,14280,2019/11/16,各分館地圖資訊, ,建國,, ,專業證照,0,1
會計師資格先修學分班-中級會計學,3240,8055 ,8055 ,7500,2019/11/17,尚有名額, ,建國,葉輔錩 老師, ,專業證照,0,1
都市計畫技師學分班-公共設施計畫,2160,5370 ,5370 ,5000,2019/11/17,尚有名額, ,建國,簡龍鳳, ,專業證照,0,1
會計師考前資格先修學分班-財務報表分析,3240,8055 ,8055 ,7500,2019/11/17,尚有名額, ,建國,葉輔錩 老師, ,專業證照,0,1
產後修復按摩入門班,1080,4800 ,4800 ,4560,2019/11/18,尚有名額, ,建國,文化大學專業師資群, ,專業證照,0,1
印前製程乙級術科檢定輔導,2340,9800 ,9800 ,8820,2019/11/19,尚有名額, ,建國,迪兒老師, ,專業證照,0,1
寵物美容DIY ,1080,6500 ,6500 ,5525,2019/11/23,尚有名額, ,建國,林美伶, ,專業證照,0,1
會計師資格先修學分班-管理會計,3240,8055 ,8055 ,7500,2019/11/23,尚有名額, ,建國,葉輔錩 老師, ,專業證照,0,1
土木工程技師學分班－施工法,3240,8055 ,8055 ,7500,2019/11/25,尚有名額, ,建國,, ,專業證照,0,1
土木工程技師學分班－營建管理,3240,8055 ,8055 ,7500,2019/11/26,尚有名額, ,建國,, ,專業證照,0,1
水土保持技師學分班－測量學,3240,8055 ,8055 ,7500,2019/11/27,尚有名額, ,建國,葉惠中、陳守泓, ,專業證照,0,1
土木工程技師學分班－測量學,3240,8055 ,8055 ,7500,2019/11/27,尚有名額, ,建國,, ,專業證照,0,1
水利工程技師學分班－測量學,3240,8055 ,8055 ,7500,2019/11/27,尚有名額, ,建國,, ,專業證照,0,1
結構工程技師學分班－結構學,3240,8055 ,8055 ,7500,2019/11/28,尚有名額, ,建國,, ,專業證照,0,1
水土保持技師學分班－結構學,3240,8055 ,8055 ,7500,2019/11/28,尚有名額, ,建國,, ,專業證照,0,1
土木工程技師學分班－結構學,3240,8055 ,8055 ,7500,2019/11/28,尚有名額, ,建國,, ,專業證照,0,1
水利工程技師學分班－結構學,3240,8055 ,8055 ,7500,2019/11/28,尚有名額, ,建國,, ,專業證照,0,1
水利工程技師學分班－鋼筋混凝土設計,3240,8055 ,8055 ,7500,2019/11/29,尚有名額, ,建國,中國文化大學之專（兼）任教師, ,專業證照,0,1
土木工程技師學分班－鋼筋混凝土設計,3240,8055 ,8055 ,7500,2019/11/29,尚有名額, ,建國,, ,專業證照,0,1
結構工程技師學分班－鋼筋混凝土設計,3240,8055 ,8055 ,7500,2019/11/29,尚有名額, ,建國,, ,專業證照,0,1
微軟MOS國際認證輔導 - PowerPoint (Core),720,4000 ,4000 ,4000,2019/11/30,尚有名額, ,建國,張婕葳老師, ,專業證照,0,1
水土保持技師學分班－植生工學,2160,5370 ,5370 ,5000,2019/11/30,尚有名額, ,建國,, ,專業證照,0,1
社會工作師學分班-社會福利概論,3240,8055 ,8055 ,7200,2019/11/30,尚有名額, ,建國,中國文化大學之專（兼）任教師, ,專業證照,0,1
法律學分班-刑法,3240,8055 ,8055 ,7500,2019/12/02,尚有名額, ,建國,林懿君 律師, ,專業證照,0,1
社會工作師學分班,48600,120825 ,120825 ,103500,2019/12/02,尚有名額, ,建國,中國文化大學之專（兼）任教師, ,專業證照,0,1
社會工作師學分班-社會政策與社會立法,3240,8055 ,8055 ,7200,2019/12/02,尚有名額, ,建國, 中國文化大學之專（兼）任教師, ,專業證照,0,1
冷凍空調技師學分班－空調工程與設計,3240,8055 ,8055 ,7500,2019/12/03,尚有名額, ,建國,江沅晉, ,專業證照,0,1
冷凍空調技師學分班－全修,17280,42960 ,42960 ,36800,2019/12/03,尚有名額, ,建國,本校專業師資, ,專業證照,0,1
社會工作師學分班-社會工作管理,3240,8055 ,8055 ,7200,2019/12/03,尚有名額, ,建國, 中國文化大學之專（兼）任教師, ,專業證照,0,1
社會工作師學分班-社會福利概論,3240,8055 ,8055 ,7200,2019/12/05,尚有名額, ,建國,中國文化大學之專（兼）任教師, ,專業證照,0,1
冷凍空調技師學分班－電工學,2160,5370 ,5370 ,5000,2019/12/06,尚有名額, ,建國,本校專業師資, ,專業證照,0,1
社會工作師學分班-社會工作概論,3240,8055 ,8055 ,7200,2019/12/06,尚有名額, ,建國, 中國文化大學專兼任教師, ,專業證照,0,1
ATS人力資源管理師國際認證班,1440,17000 ,17000 ,14450,2019/12/07,尚有名額, ,建國,洪茂春, ,專業證照,0,1
社會工作師學分班-社會團體工作,3240,8055 ,8055 ,7200,2019/12/07,尚有名額, ,建國, 中國文化大學之專（兼）任教師, ,專業證照,0,1
食品技師先修學分班,2160,5370 ,5370 ,5000,2019/12/09,尚有名額, ,建國,中國文化大學之專（兼）任教師, ,專業證照,0,1
食品技師先修學分班,2160,5370 ,5370 ,5000,2019/12/10,尚有名額, ,建國,中國文化大學之專（兼）任教師, ,專業證照,0,1
都市計畫技師學分班-計畫分析方法,2160,5370 ,5370 ,5000,2019/12/10,尚有名額, ,建國,, ,專業證照,0,1
食品技師先修學分班,2160,5370 ,5370 ,5000,2019/12/11,尚有名額, ,建國,中國文化大學之專（兼）任教師, ,專業證照,0,1
都市計畫技師學分班-都市工程學,2160,5370 ,5370 ,5010,2019/12/11,尚有名額, ,建國,蔡立睿 老師 , ,專業證照,0,1
Tea Tasting Level 2茶葉品評二級認證 ,720,15000 ,15000 ,15000,2019/12/14,尚有名額, ,建國,講茶學院師資群, ,專業證照,0,1
法律學分班-民法,4320,10740 ,10740 ,10000,2019/12/17,尚有名額, ,建國,本校專業師資, ,專業證照,0,1
會計事務丙級檢定 - 資訊項術科輔導,2520,8500 ,8500 ,7650,2019/12/17,尚有名額, ,建國,楊淑美老師, ,專業證照,0,1
不動產估價師學分班－平日全修,19440,48330 ,48330 ,41400,2019/12/23,尚有名額, ,建國,中國文化大學專（兼）任教師, ,專業證照,0,1
不動產估價師學分班-不動產投資【平日單修】,3240,8055 ,8055 ,7500,2019/12/23,尚有名額, ,建國,中國文化大學專（兼）任教師, ,專業證照,0,1
不動產估價師學分班-不動產估價理論【平日單修】,3240,8055 ,8055 ,7500,2019/12/24,尚有名額, ,建國,張義權, ,專業證照,0,1
不動產估價師學分班-土地利用【平日單修】,3240,8055 ,8055 ,7500,2019/12/25,尚有名額, ,建國,李家儂, ,專業證照,0,1
 不動產估價師學分班-不動產估價實務【平日單修】,3240,8055 ,8055 ,7500,2019/12/27,尚有名額, ,建國,中國文化大學專（兼）任教師  張義權, ,專業證照,0,1
都市計畫技師學分班-都市計畫法規,2160,5370 ,5370 ,5000,2019/12/28,尚有名額, ,建國,, ,專業證照,0,1
